id;title;description;duration;hours_quantity;frequency;academic_unit_group;only_semester_half;class_type_id;user_ext_id;semester_id;academic_unit_id;class_unit_group_id;subdepartment_id
94;Systemy równoległe i rozproszone;null;90;30;EVERY_WEEK;null;false;4;24;2;5;null;2
95;Bazy danych II;null;90;6;EVERY_TWO_WEEKS;null;false;1;5;2;5;null;2
96;Bazy danych II;null;135;45;EVERY_WEEK;null;false;4;5;2;5;null;2
97;Metody numeryczne w geologii inżynierskiej;null;90;30;EVERY_WEEK;null;false;1;21;2;29;null;2
98;Metody numeryczne w geologii inżynierskiej;null;90;30;EVERY_WEEK;GROUP1;false;2;20;2;29;null;2
99;Metody numeryczne w geologii inżynierskiej;null;90;30;EVERY_WEEK;GROUP2;false;2;20;2;29;null;2
100;Mineralogia i petrografia;null;90;30;EVERY_WEEK;null;false;1;30;2;13;null;3
101;Mineralogia i petrografia;null;90;15;EVERY_TWO_WEEKS;GROUP1;false;2;31;2;13;null;3
102;Mineralogia i petrografia;null;90;15;EVERY_TWO_WEEKS;GROUP2;false;2;31;2;13;null;3
103;Mineralogia i petrografia;null;90;30;EVERY_WEEK;null;false;1;30;2;37;null;3
104;Mineralogia i petrografia;null;90;30;EVERY_WEEK;GROUP1;false;2;32;2;37;null;3
105;Petrografia;null;90;30;EVERY_WEEK;GROUP1;false;1;33;2;26;null;3
106;Petrografia;null;90;30;EVERY_WEEK;GROUP2;false;1;33;2;26;null;3
107;Petrografia;null;90;30;EVERY_WEEK;GROUP1;false;4;34;2;26;null;3
108;Petrografia;null;90;30;EVERY_WEEK;GROUP2;false;4;34;2;26;null;3
109;Petrografia;null;90;30;EVERY_WEEK;GROUP3;false;4;35;2;26;null;3
110;Petrografia;null;90;30;EVERY_WEEK;GROUP4;false;4;36;2;26;null;3
111;Petrografia;null;45;15;EVERY_WEEK;GROUP1;false;2;34;2;26;null;3
112;Petrografia;null;45;15;EVERY_WEEK;GROUP2;false;2;34;2;26;null;3
113;Petrografia;null;45;15;EVERY_WEEK;GROUP3;false;2;34;2;26;null;3
114;Petrografia;null;45;15;EVERY_WEEK;GROUP4;false;2;34;2;26;null;3
115;Petrografia;null;45;15;EVERY_WEEK;GROUP5;false;2;35;2;26;null;3
116;Petrografia;null;45;15;EVERY_WEEK;GROUP6;false;2;35;2;26;null;3
117;Petrografia;null;45;15;EVERY_WEEK;GROUP7;false;2;36;2;26;null;3
118;Petrografia;null;45;15;EVERY_WEEK;GROUP8;false;2;36;2;26;null;3
119;Chemia środowiska;null;90;30;EVERY_WEEK;null;false;1;37;2;32;null;3
120;Chemia środowiska;null;90;30;EVERY_WEEK;GROUP1;false;2;38;2;32;null;3
121;Chemia środowiska;null;90;30;EVERY_WEEK;GROUP2;false;2;38;2;32;null;3
122;Chemia środowiska;null;90;30;EVERY_WEEK;GROUP3;false;2;39;2;32;null;3
123;Chemia środowiska;null;90;30;EVERY_WEEK;GROUP4;false;2;39;2;32;null;3
124;Geochemia;null;90;30;EVERY_WEEK;null;false;1;38;2;38;null;3
125;Geochemia;null;90;15;EVERY_TWO_WEEKS;null;false;4;40;2;38;null;3
126;Pierwiastki krytyczne i surowce II generacji Polski i świata;null;180;45;EVERY_WEEK;null;false;1;41;2;30;null;3
127;Seminarium dyplomowe;null;135;30;EVERY_WEEK;null;false;3;30;2;30;null;3
128;Seminarium dyplomowe;null;135;30;EVERY_WEEK;null;false;3;37;2;42;null;3
129;Krystalografia i krystalochemia;null;225;60;EVERY_WEEK;null;false;4;42;2;29;null;3
130;Mineralogia zaawansowana;null;90;30;EVERY_WEEK;null;false;1;41;2;29;null;3
131;Mineralogia zaawansowana;null;135;45;EVERY_WEEK;GROUP1;false;2;30;2;29;9;3
132;Mineralogia zaawansowana;null;135;45;EVERY_WEEK;GROUP1;false;2;33;2;29;9;3
133;Mineralogia zaawansowana;null;135;45;EVERY_WEEK;GROUP2;false;2;30;2;29;10;3
134;Mineralogia zaawansowana;null;135;45;EVERY_WEEK;GROUP2;false;2;33;2;29;10;3
135;Petrologia skał magmowych i metamorficznych;null;90;30;EVERY_WEEK;null;false;1;33;2;29;11;3
136;Petrologia skał magmowych i metamorficznych;null;90;30;EVERY_WEEK;null;false;1;43;2;29;11;3
137;Petrologia skał magmowych i metamorficznych;null;90;30;EVERY_WEEK;GROUP1;false;2;33;2;29;12;3
138;Petrologia skał magmowych i metamorficznych;null;90;30;EVERY_WEEK;GROUP1;false;2;43;2;29;12;3
139;Petrologia skał magmowych i metamorficznych;null;90;30;EVERY_WEEK;GROUP2;false;2;33;2;29;13;3
140;Petrologia skał magmowych i metamorficznych;null;90;30;EVERY_WEEK;GROUP2;false;2;43;2;29;13;3
141;Petrologia skał magmowych i metamorficznych;null;90;30;EVERY_WEEK;null;false;4;33;2;29;14;3
142;Petrologia skał magmowych i metamorficznych;null;90;30;EVERY_WEEK;null;false;4;43;2;29;14;3
143;Jubilerstwo i wycena kamieni;null;90;30;EVERY_WEEK;null;false;1;34;2;29;null;3
144;Jubilerstwo i wycena kamieni;null;180;45;EVERY_WEEK;GROUP1;false;2;44;2;29;15;3
145;Jubilerstwo i wycena kamieni;null;180;45;EVERY_WEEK;GROUP1;false;2;32;2;29;15;3
146;Jubilerstwo i wycena kamieni;null;180;45;EVERY_WEEK;GROUP1;false;2;45;2;29;15;3
147;Jubilerstwo i wycena kamieni;null;180;45;EVERY_WEEK;GROUP2;false;2;44;2;29;16;3
148;Jubilerstwo i wycena kamieni;null;180;45;EVERY_WEEK;GROUP2;false;2;32;2;29;16;3
149;Jubilerstwo i wycena kamieni;null;180;45;EVERY_WEEK;GROUP2;false;2;45;2;29;16;3
150;Geochemia pierwiastków i paragenez mineralnych;null;225;60;EVERY_WEEK;null;false;4;46;2;29;17;3
151;Geochemia pierwiastków i paragenez mineralnych;null;225;60;EVERY_WEEK;null;false;4;47;2;29;17;3
152;Geochemia pierwiastków i paragenez mineralnych;null;225;60;EVERY_WEEK;null;false;4;48;2;29;17;3
153;Fizykochemia odpadów stałych;null;90;15;EVERY_TWO_WEEKS;null;false;1;35;2;35;null;3
154;Fizykochemia odpadów stałych;null;90;30;EVERY_WEEK;null;false;4;49;2;35;null;3
